,Survey,Clean_Text,Label
57,"mungkin saran untuk asprak bisa diseleksi lagi, karena beberapa asprak masih kurang menguasai Pelajarannya. dan mungkin waktu praktikum bisa dibimbing, jangan hanya dikasih soal dan Siswa mengerjakan sendiri",saran untuk asprak seleksi asprak kurang kuasa ajar waktu praktikum bimbing kasih siswa,negatif
58,"terimakasih bu atas pengajaran yang maksimal, semoga ilmu yang diberikan dapat memberikan manfaat bagi Siswa dan semoga ibu mendapatkan balasan lebih atas kebaikan yang telah diberi kepada kita oleh tuhan yang maha esa",terimakasih bu ajar yang maksimal moga ilmu yang manfaat siswa moga balas baik yang tuhan yang maha esa,positif
59,"Saya berharap bapak guru memberikan tugas sesuai dengan proporsi dan kemampuan siswa,",harap guru tugas sesuai proporsi mampu siswa,negatif
60,guru menguasai materi,guru kuasa materi,positif
61,Semoga lift lantai 1 di aktifkan kembali,moga lift lantai aktif,positif
62,"mungkin spidol nya pak lebi terang lagi tinta nya,yang bagian belakang kadang tidak jelas melihat tulisan bapak.",spidol terang tinta nyayang kadang tidak tulis,negatif
63,tidak ada saran,tidak ada saran,positif
64,Semoga kedepannya lebih baik lagi,moga depan baik,positif
65,dari saya mungkin materi yang diberikan minimal dikasih pendahuluan pak.. biar kita juga tau akan melangkah kemana,materi yang minimal kasih dahulu tau lang mana,negatif
66,"Tidak ada kritik ibu, soalnya ibu sudah baik dalam mengajar membuat Siswa lebih aktif.",tidak ada kritik baik ajar siswa aktif,positif
67,Untuk guru pengampu saya ada sedikit kritik dan saran. Ibu mohon untuk management waktu diperbaiki kembali saya bukan menyalahkan melainkan saya sedikit kebingungan dari manajemen waktu yang ibu sampai kan ke kami. Selalu berubah ubah jadi mohon untuk kedepannya mungkin bisa di perbaiki kembali,untuk guru ampu ada kritik saran untuk management waktu baik salah bingung manajemen waktu yang ubah ubah untuk depan baik,negatif
68,bagus,bagus,positif
69,semangat buat bapak ibu guru makasih atas bimbingannya sehat terus,semangat untuk guru makasih bimbing sehat,positif
70,Sudah sangat baik dalam proses pembelajaran di kelas. Semoga kedepannya tetap seperti ini.,sangat baik proses ajar kelas moga depan ini,positif
71,"sangat ramah dan suka berdiskusi, terimakasih atas bimbingan nya pak",sangat ramah suka diskus terimakasih bimbing,positif
72,Sudah sangat baik dalam pembelajaran,sangat baik ajar,positif
73,"sangat baik dalam penyampain materi dan menguasai materinya mengenai Pelajaran ICT, tetapi terkadang terlalu banyak slide yang mungkin bebrapa tidak perlu di jelaskan secara detail",sangat baik penyampain materi kuasa materi ajar ict terkadang slide yang bebrapa tidak detail,negatif
74,Semoga menjadi lebih baik lagi,moga baik,positif
75,Jaga kesehatan,jaga sehat,positif
76,Cukup.,cukup,positif
77,Pak kalau bisa tugas nya jangan seminggu sekali,tugas minggu,negatif
78,"Mungkin ini bukan saran sih hanya pendapat saja dari saya untuk guru tidak tetap saja , karena kalo guru tetap di saya rasa sudah cukup mumpuni dalam menguasai materi yg disampaikan dan juga penyampaiannya cukup baik.",ini saran sih dapat untuk guru tidak guru cukup mumpuni kuasa materi yang sampai cukup baik,positif
79,dalam hal pengajaran sudah baik,ajar baik,positif
80,Guru sudah menyampaikan materi dan berkomunikasi dengan siswa dengan sangat baik,guru materi komunikasi siswa sangat baik,positif
81,pembelajaran yangdi sanpaikan oleh bapaknya sangat dipahami dan metode pembelajaran yang dipakai sesuai pemahaman siswanya,ajar yangdi sanpaikan bapak sangat paham metode ajar yang pakai sesuai paham siswa,negatif
82,Tidak dan kedepanya lebih baik lagi,tidak depa baik,positif
83,Kasih Praktek sekalian bu,kasih praktek bu,positif
84,"nada berbicara saat menjelaskan lebih semangat lagi supaya walaupun pembelajaran online, Siswa tetap semangat untuk mendengarkan materi",nada bicara saat semangat ajar online siswa semangat untuk dengar materi,positif
85,"Tidak ada, pengajaran beliau bagus sekali",tidak ada ajar beliau bagus,positif
86,"Dari saya, bapak guru sudah menggunakan sistem pembelajaran yang baru dan efisien, sehingga penyampaian materi dapat mudah dipahami.",guru sistem ajar yang efisien sampai materi mudah paham,positif
87,Kalau bisa pak pembelajaran nya dilaksanakan di Lab. Komputer. Terimakasih,ajar laksana lab komputer terimakasih,positif
88,Tidak asa,tidak asa,negatif
89,lebih interaktif terhadap Siswa dan siswinya,interaktif siswa siswi,negatif
90,gaada saran bu.. sudahh sangattt baik hehehhe,tidak ada saran bu sangat baik hehehhe,positif
91,Mantap bu,mantap bu,positif
92,lebih jelas penyampain an nya,penyampain an,positif
93,Untuk saat ini tidak ada,untuk saat ini tidak ada,positif
94,Kedepan lebih tegas dalam pembelajaraan biar mahasiwa rajin dalam Pelajaran,depan pembelajaraan mahasiwa rajin ajar,positif
95,dalam penyampaian materi begitu baik karena materi yang disampaikan bisa jelas,sampai materi baik materi yang,positif
96,Refrensi CRUDS pada web petani kode kurang lengkap.,refrensi cruds web tani kode kurang lengkap,negatif
97,Semangat terus bu,semangat bu,positif
98,Tugas nya klo bisa lebih dipermudah,tugas mudah,negatif
99,penyampaian materi kurang baik,sampai materi kurang baik,negatif
100,klo terlambat jangan disuruh nyanyi dong bu hehe,lambat perintah nyanyi bu wkwkwk,positif
101,semoga kedepannya lebih ramah lagi kepada Siswa,moga depan ramah siswa,positif
102,konsisten untuk cara pengajaran nya,konsisten untuk ajar,positif
103,Menurut saya bapak memberikan metode belajar yang sangat baik sehingga Siswa dapat mudah mengerti dan tidak bosan belajar daring seperti sekarang ini. Cara mengajarnya sangat interaktif dan mudah di mengerti.,metode ajar yang sangat baik siswa mudah erti tidak bosan ajar daring ini ajar sangat interaktif mudah erti,positif
104,Mampu lebih mengoreksi atas eksekusi yang di lakukan Siswa sehingga semua mampu memahami materi,koreksi eksekusi yang laku siswa paham materi,negatif
105,saran saya untuk guru pengampu yakni tetap melakukan pembelajaran dengan sangat baik,saran untuk guru ampu ajar sangat baik,negatif
106,baik Gurunya,baik guru,positif
107,semangat mengajar ibuu,semangat ajar,positif
108,Topp bapak,topp,positif
109,Saran saya kepada ibu bapak Guru. Kalau tidak ada kelas / belajar mandiri hendaknya dikabari pagi pagi. Jangan mepet mepet kelas. Karena kasian yang rumahnya jauh sudah ada disekolah terus kelasnya kosong,saran guru tidak ada kelas ajar mandiri kabar pagi pagi mepet mepet kelas kasi yang rumah ada seko kelas kosong,negatif
110,kemampuan Guru dalam Menjabarkan Materi Sudah Sangat Baik,mampu guru jabar materi sangat baik,positif
111,Penyampaian materinya masih kurang sering tidak ada kelas,sampai materi kurang tidak ada kelas,negatif
112,Tidak ada saran karena sudah baik,tidak ada saran baik,positif
113,Praktikum sebenarnya tidak terlalu efektif untuk pembelajaran,praktikum tidak efektif untuk ajar,negatif
114,Memberi materi yang penerapannya berhubungan dengan jurusan,materi yang terap hubung jurus,negatif
115,Semoga semakin tahun bertambah dan umur bertambah ibu tetap menjadi guru yang baik dan semakin disukai oleh Siswa,moga tahun tambah umur tambah guru yang baik suka siswa,positif
116,"Pak ,saya tidak berkomenta tentang apapun.",tidak komentar apa,positif
117,Kerenn,kerenn,positif
118,Guru sangat baik,guru sangat baik,positif
119,Tidak ada metode pembelajaran sudah bagus,tidak ada metode ajar bagus,positif
120,makasih banyak pak,makasih,positif
121,Baik,baik,positif
122,be Better,be better,positif
123,"cara guru berinteraksi dengan Siswa sangat baik walaupun pembelajaran dilakukan secara online, apalagi pada saat sesi tanya jawab jika Siswa kurang bisa menjawab maka guru dengan sigap menambahkan jawaban agar Siswa paham mengenai materi yang telah diberikan",guru interaksi siswa sangat baik ajar online saat sesi siswa kurang guru sigap siswa paham materi yang,negatif
124,Penyampaian materi bisa diberi materi berupa video pembelajaran.,sampai materi materi video ajar,negatif
125,pembelajaran selama satu semester ini menurut saya sudah cukup baik,ajar semester ini cukup baik,positif
126,"Secara keseluruhan cara penyampaian Ibu sudah bagus dan bisa saya mengerti, Ibu juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolah tentukan.",sampai bagus erti waktu kelas untuk ajar jam mata ajar yang sekolah tentu,positif
127,maaf bu Semoga kedepannya bisa lebih baik lagi dalam berinteraksi dengan Siswa sehingga Siswa bisa lebih enjoy lagi dalam mengikuti materi yang disampaikan,maaf bu moga depan baik interaksi siswa siswa senang ikut materi yang,negatif
128,"Secara keseluruhan penjelasan yang disampaikan sangat baik, tapi lebih baik jika diadakan offline.",jelas yang sangat baik baik ada offline,positif
129,Semangat Pak,semangat,positif
130,"Semoga bu bisa memperhatikan lebih lagi mengenai bahan materi, untuk diupload ke elearning",moga bu perhati bahan materi untuk unggah elearning,negatif
131,cukup baik,cukup baik,positif
132,Penjelasan lebih detail dan membahas soalsoal,jelas detail bahas soal soal,positif
133,mungkin PPT bisa diperbesar lagi karena tulisannya kecilkecil.,powerpoint besar tulis kecilkecil,negatif
134,"tidak ada, terima kasih pak selama satu semester ini, sehat selalu pak .",tidak ada terima kasih semester ini sehat,positif
135,"Perfect, meski agak deg2 an takut ditanya",sempurna deg an takut,positif
136,"Soal final projectnya semoga mirip sama contoh soal pak, terimakasih pak",final projectnya moga contoh terimakasih,positif
137,mungkin jangan percaya Siswa bilang sudah paham pak karena kita kadang juga belum pahaam hehehe,percaya siswa bilang paham kadang belum pahaam hehe,negatif
138,Cara mengajarnya sangat interaktif dan mudah di mengerti. Saya berharap bapak bisa meningkatkan lagi,ajar sangat interaktif mudah erti harap tingkat,positif
139,"ibu menyampaikan materi Pelajaran begitu cepat, hal tersebut membuat kami kesulitan dalam memahami materi rumit yang seharusnya disampaikan pelanpelan.",materi ajar cepat sulit paham materi rumit yang perlahan,negatif
140,Terimakasih pak sudah banyak membantu untuk mempermudah memahami materi :D!,terimakasih bantu untuk mudah paham materi,positif
141,Saran saya adalah agar tetap memberikan dan menyampaikan materi yang terbaik,saran materi yang baik,positif
142,Semoga bisa lebih baik,moga baik,positif
143,Sehat2 terus pak!!!,sehat,positif
144,Kedepannya lebih baik,depan baik,positif
145,jelas dalam memberikan materi,materi,negatif
146,lebih asik dalam berinteraksi dengan Siswa,asik interaksi siswa,negatif
147,Semoga kedapannya dapat lebih baik lagi,moga kedap baik,positif
148,"Semangat mengajar para siswa, bu",semangat ajar siswa bu,positif
149,"Tidak ada, saya senang diajar beliau",tidak ada senang ajar beliau,positif
150,mungkin bisa diberikan jawaban yang benar dari tugastugas yang sudah dikerjakan,yang tugas tugas yang,negatif
151,harapannya waktu menerangkan materi suara aga lebih keras sedikit,harap waktu terang materi suara aga keras,negatif
152,Lebih bagus lagi kalau dilaksanakan secara offline,bagus laksana offline,negatif
153,"santai tapi pasti, terima kasih telah mengajar dan mohon bantuannya untuk semester depan",santai terima kasih ajar bantu untuk semester,positif
154,sebaiknya lebih jelas dan pelanpelan dalam menjelaskan materi,perlahan materi,negatif
155,belajar dengan pak selalu membuka insight baru. Semoga kedepannya selalu begitu,ajar buka insight moga depan,negatif
156,perlu di tingkatkan,tingkat,positif
157,sudah baik Gurunya,baik guru,positif
158,"Sudah baik, serta dapat untuk ditingkatkan",baik untuk tingkat,positif
159,Ketika memberikan tugas lebih di perjelas lagi,tugas jelas,negatif
160,kurang efektif pembelajarannya,kurang efektif ajar,negatif
161,"Saran dari saya, semoga bapak dapat memperpanjang batas waktu pengumpulan tugas. Terima Kasih",saran moga panjang batas waktu kumpul tugas terima kasih,negatif
162,"tidak ada saran,Bu sangat baik saat menjelaskan dan menyampaikan materi di kelas.",tidak ada saran ibu sangat baik saat materi kelas,positif
163,semoga lebih baik dan sukses kedepannya bu,moga baik sukses depan bu,positif
164,semoga ibu sehat selalu,moga sehat,positif
165,semoga tetap begini dengan cara pembelajaran yang nyaman,moga ajar yang nyaman,positif
166,Menurut saya ibu sudah mengajar dan memberikan materi dengan baik sehingga Siswa dapat memahaminya,ajar materi baik siswa paham,positif
167,"Semoga kedepannya guru lebih baik lagi,dan menjadi panutan serta tauladan untuk siswanya.",moga depan guru baik lagi dan panutan tauladan untuk siswa,negatif
168,"Kedepannya bisa luring, supaya biss leluasa bertanya",depan luring biss leluasa,negatif
169,Baik baik baik,baik baik baik,positif
170,Untuk guru pengajar tertentu agar diberikan materi sebelum diberikan soalsoal,untuk guru ajar materi soal soal,negatif
171,Diusahakan untuk memberitahu kepastian jam Pelajaran online atau offline minimal sehari sebelum Pelajaran dimulai,usaha untuk memberitahu pasti jam ajar online offline minimal hari ajar,negatif
172,"Sejauh ini tidak ada saran dari saya. Pak sangat baik dalam menerangkan, santai tetapi serius sehingga suasa menyenangka saat di kelas, terima kasih saya ucapkan untuk pak .",jauh ini tidak ada saran sangat baik terang santai serius suasa nangka saat kelas terima kasih ucap untuk,positif
173,sangatt baik,sangat baik,positif
174,Pertahankan apa yang sudah baik,tahan yang baik,positif
175,Terimakasih Pak atas Kebaikannya,terimakasih baik,positif
176,berikan teori terbaru untuk sebuah pendapat,teori baru untuk dapat,negatif
177,Semoga lebih baik lagi pak dalam mengajarnya,moga baik ajar,positif
178,sehat selalu pak:),sehat,positif
179,Permisi bu mau kasih saran mohon kalau dikelas lebih murah senyum bu dan lebih bisa berinteraksi kepada kami para Siswa non kedaireka bu kami juga ingin lebih banyak interaksi dengan ibu ataupun ibu respon cukup membuat kami bahagia seakan kami ada didalam kelas tersebut terima kasih,permisi bu kasih saran kelas murah senyum bu interaksi siswa non kedaireka bu interaksi respon cukup bahagia akan ada dalam kelas terima kasih,negatif
180,kurang dikit,kurang,negatif
181,dalam menyampaikan materi lebih diperdalam&detail,materi diperdalamdetail,negatif
182,"tidak ada saran, materinya cukup mudah dipahami",tidak ada saran materi cukup mudah paham,positif
183,Pembelajaran lebih fleksibel lebih bagus,ajar fleksibel bagus,positif
184,Terima kasih untuk para guru,terima kasih untuk guru,positif
185,Lebih baik dalam mengajar,baik ajar,positif
186,Baik pertahankan ibu,baik tahan,positif
187,"Tidak ada saran dari saya, karena menurut saya bapak sudah sangat baik dalam mengajar mulai dari menerangkan secara online maupun offline. Materi pun juga sudah di tampilkan di e learning secara lengkap dan rapi sehingga membantu kami sebagai Siswa jika ingin mereview materi. Terima kasih banyak untuk pak .",tidak ada saran sangat baik ajar terang online offline materi tampil ajar lengkap rapi bantu siswa mereview materi terima kasih untuk,positif
188,kalau bisa pembelajarannya dilakukan secara offline,ajar offline,negatif
189,no comment,no komentar,positif
190,"sangat cukup dan semoga kedepannya mampu memberikan toleransi keterlambatan, kekurangan kepada Siswa",sangat cukup moga depan toleransi lambat kurang siswa,negatif
191,"Guru online terus jadi Siswa susah menangkap materi atau menguasai , guru juga terkadang suka mendadak memberikan kabar kejelasan kelas",guru online siswa susah tangkap materi kuasa guru terkadang suka dadak kabar jelas kelas,negatif
192,Tetap jaga metode pembelajarannya,jaga metode ajar,negatif
193,Sudah sangat baik tidak ada saran,sangat baik tidak ada saran,positif
194,Dimohon kepada guru untuk tidak menunda jam Pelajaran yang sudah ditentukan. Ketika Siswa melakukan responsi dimohon untuk memberi respon dan memberi pembenaran pada pengerjaan. Terimakasih telah memberi ilmu di semester ini.,mohon guru untuk tidak tunda jam ajar yang tentu siswa responsif mohon untuk respon benar kerja terimakasih ilmu semester ini,negatif
195,pertemuan Pelajaran mungkin bisa disesuaikan lagi dengan jadwal dari sekolah,temu ajar sesuai jadwal sekolah,negatif
196,Sehat selalu dan terus bertambah rezekinya¿¿¿¿¿¿¿¿,sehat tambah rezeki,positif
197,Semangat terus pak,semangat,positif
198,"tidak ada saran,pak the best¿¿¿¿",tidak ada saran pak the best,positif
199,sering hadir lagi,hadir,negatif
200,mengajarkan materi secara lebih rinci lagi,ajar materi rinci,positif
201,Cukup baik tapi tolong lebih dijelaskan materi nya,cukup baik tolong materi,positif
202,Semoga lebih baik lagi dalam mengajar,moga baik ajar,positif
203,Pembelajaran asik,ajar asik,positif
204,"Kami merasa Bapak/Ibu menjelaskan materi dengan terlalu cepat, sehingga kami tidak sempat mencatat materi.Agar kami bisa mencatat dan memahami materi dengan baik, kami menyarankan Ibu untuk menjelaskan materi dengan lebih perlahan",bapak ibu materi cepat tidak catat materiagar catat paham materi baik saran untuk materi perlahan,negatif
205,"udah sangat baik, lebih perlahan mengajarnya",sangat baik perlahan ajar,positif
206,"Lebih Menekan Dan Mencari Siswa yang belum menguasai di bidang tersebut,agar Siswa bisa mengejar materi yang sekiranya tidak bisa menjadi bisa, kadang ada juga Siswa yang ingin bertanya tapi sungkan dengan temannya yang pintar mungkin itu saja terima kasih",tekan cari siswa yang belum kuasa bidang tersebutagar siswa kejar materi yang tidak kadang ada siswa yang sungkan teman yang pintar terima kasih,negatif
207,Terimakasih bapak/ibu guru untuk pegajaran dan pelajaran selama 1 semester ini.,terimakasih bapak ibu guru untuk pegajaran ajar semester ini,positif
208,Penyampaian materi lebih di perjelas,sampai materi jelas,negatif
209,mungkin sesekali bisa diiringi belajar sambil games,iring ajar main,positif
210,Kedepannya bisa lebih baik,depan baik,positif
211,"Terlalu banyak bercandaan, dan penjelasannya kurang runtut",canda jelas kurang runtut,negatif
212,Suka dengan pembelajaran bu tentunya selain mudah mengerti juga penyampaian dan tampilan yang baik. Saran saya yaitu perlunya saat praktikum di jelaskan melalui coding langsung jangan hanya mengetik coding yang di layar.,suka ajar bu mudah erti sampai tampil yang baik saran saat praktikum coding etik coding yang layar,positif
213,untuk penjelasan materi sdh sangat baik,untuk jelas materi sangat baik,positif
214,Semoga lebih baik lagi,moga baik,positif
215,semoga pada penjelasan selanjutnya lebih baik,moga jelas baik,positif
216,untuk dari segi mengajar sudah bagus dan tugas juga sudah baik,untuk segi ajar bagus tugas baik,positif
217,secara keseluruhan penyampain materi sangat baik:),penyampain materi sangat baik,positif
218,TETAP SEMANGAT MEMBIMBING KAMI DAN BAIKK,semangat bimbing baik,positif
219,Semangat selalu bu :),semangat bu,positif
220,"mohon untuk mempertimbangkan dalam mengajar menggunakan metode penjelasan+praktikum dalam 1 pertemuan. karena selama ini penjelasan ada di awal semester, sedangkan praktikum ada di akhir semester. sehingga Siswa tidak mengerti selama mereka praktikum, mereka sedang melakukan apa, karena mereka hanya mengikuti langkah2 praktikum.",untuk timbang ajar metode penjelasanpraktikum temu ini jelas ada semester praktikum ada semester siswa tidak erti praktikum ikut langkah praktikum,negatif
221,Agar cara mengajarnya lebih menarik dan baik lagi,ajar tarik baik,positif
222,"mohon untuk diluluskan dalam kulian matematika optimasi dan mendapatkan nilai yang bagus, terimakasih bu",untuk lulus kuli matematika optimasi nilai yang bagus terimakasih bu,positif
223,kalau ngomong jangan cepet cepet bu,bicara cepat cepat bu,negatif
224,Penyampaian materi agak sedikit cepat namun masih dapat dimengerti,sampai materi cepat erti,negatif
225,saran saya selama pembelajaran satu semester udah baik dengan penyampaian materi untuk kedepannya tetap dipertahankan agar suasana pembelajaran lebih nyaman,saran ajar semester baik sampai materi untuk depan tahan suasana ajar nyaman,positif
226,"Menurut saya, jika mengaja beliau bisa mempertegas suara dalam menyampaikan materi",aja beliau tegas suara materi,negatif
227,"Lebih banyak lagi referensi materi yang sesuai serta model model pemrograman yang sesuai, datang tepat waktu sesuai jadwal agar tidak mengganggu waktu selanjutnya",referensi materi yang sesuai model model pemrograman yang sesuai waktu sesuai jadwal tidak ganggu waktu,negatif
228,untuk kedepannya semoga datang tepat waktu,untuk depan moga waktu,positif
229,sudah sangat baikk dan asik,sangat baik asik,positif
230,Tetap semangat dan sabar dalam menyampaikan materi kepada Siswa,semangat sabar materi siswa,positif
231,Volume suaranya agak dibesarkan dikit,volume suara besar,negatif
232,guru terkadang menghilang tibatiba tanpa memberi kabar sehingga komunikasi terhadap Siswa sangat kurang. kemudian ketika Siswa memberi pertanyaan ketika kelas terkadang jawaban guru tidak sesuai yang ditanyakan (terlalu berteletele),guru terkadang hilang tibatiba kabar komunikasi siswa sangat kurang siswa kelas terkadang guru tidak sesuai yang berteletele,negatif
233,"udah bagus, lebih semangat lagi mengajarnya pak",bagus semangat ajar,positif
234,guru menyampaikan materi dengan sangat baik dan efektif sehingga mudah untuk difahami oleh Siswa,guru materi sangat baik efektif mudah untuk paham siswa,positif
235,untuk materinya bisa di upload ke elearning.,untuk materi unggah elearning,negatif
236,Mungkin diadakan kelas offline sekali2,ada kelas offline,negatif
237,"Ibu menurut saya,saya tidak berkomentar tentang apapun.",sayasaya tidak komentar apa,positif
238,baik dalam pengajaran namun pak tidak pernah mengisi kbm,baik ajar tidak isi giat ajar ajar,positif
239,Secara keseluruhan cara penyampaian ibu sudah sangat baik dan mudah dimengerti serta ibu juga selalu tepat waktu datang di kelas untuk mengajar pada jam Pelajaran pengantar akuntansi.,sampai sangat baik mudah erti waktu kelas untuk ajar jam ajar antar akuntansi,positif
240,saran sudah cukup,saran cukup,positif
241,Kalau bisw mtk diadakan offline aja bu,bisw matematika ada offline bu,negatif
